2026-01-16 17:33:05 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-01-16 17:33:05 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 10316 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-01-16 17:33:05 [main] INFO  : The following 1 profile is active: "dev"
2026-01-16 17:33:06 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-16 17:33:06 [main] INFO  : Finished Spring Data repository scanning in 197 ms. Found 3 JPA repository interfaces.
2026-01-16 17:33:08 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-01-16 17:33:08 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-01-16 17:33:08 [main] INFO  : Starting service [Tomcat]
2026-01-16 17:33:08 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-01-16 17:33:08 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-01-16 17:33:08 [main] INFO  : Root WebApplicationContext: initialization completed in 3040 ms
2026-01-16 17:33:09 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-01-16 17:33:09 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-01-16 17:33:09 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-01-16 17:33:09 [main] INFO  : Successfully validated 1 migration (execution time 00:00.064s)
2026-01-16 17:33:09 [main] INFO  : Current version of schema `shopping_list_db`: 2
2026-01-16 17:33:09 [main] ERROR : Schema `shopping_list_db` has version 2, but no migration could be resolved in the configured locations !
2026-01-16 17:33:09 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-01-16 17:33:09 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-16 17:33:09 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2026-01-16 17:33:09 [main] INFO  : HHH000026: Second-level cache disabled
2026-01-16 17:33:10 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-16 17:33:10 [main] INFO  : HikariPool-1 - Starting...
2026-01-16 17:33:10 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@1756a471
2026-01-16 17:33:10 [main] INFO  : HikariPool-1 - Start completed.
2026-01-16 17:33:10 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-16 17:33:11 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-16 17:33:11 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-16 17:33:12 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-01-16 17:33:12 [main] INFO  : Global AuthenticationManager configured with AuthenticationProvider bean with name remoteAuthProvider
2026-01-16 17:33:12 [main] WARN  : Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-01-16 17:33:13 [main] INFO  : Exposing 0 endpoints beneath base path '/actuator'
2026-01-16 17:33:14 [main] INFO  : Starting ProtocolHandler ["http-nio-5443"]
2026-01-16 17:33:14 [main] INFO  : Tomcat started on port 5443 (http) with context path '/'
2026-01-16 17:33:14 [main] INFO  : Started ShoppingListServiceApplication in 10.21 seconds (process running for 11.143)
2026-01-16 19:44:34 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h11m53s404ms661µs).
2026-01-16 21:26:27 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2026-01-16 21:26:27 [tomcat-shutdown] INFO  : Graceful shutdown complete
2026-01-16 21:26:27 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-16 21:26:27 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2026-01-16 21:26:27 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
